<http://dbpedia.org/resource/Napoleon> ?x	?y
<http://www.w3.org/2002/07/owl#sameAs>	<http://th.dbpedia.org/resource/จักรพรรดินโปเลียนที่_1>
<http://www.w3.org/2002/07/owl#sameAs>	<http://tl.dbpedia.org/resource/Napoleon_I_ng_Pransiya>
<http://www.w3.org/2002/07/owl#sameAs>	<http://tr.dbpedia.org/resource/Napolyon_Bonapart>
<http://www.w3.org/2002/07/owl#sameAs>	<http://tt.dbpedia.org/resource/Наполеон_Бонапарт>
<http://www.w3.org/2002/07/owl#sameAs>	<http://uk.dbpedia.org/resource/Наполеон_I_Бонапарт>
<http://www.w3.org/2002/07/owl#sameAs>	<http://ur.dbpedia.org/resource/نپولین>
<http://www.w3.org/2002/07/owl#sameAs>	<http://uz.dbpedia.org/resource/Napoleon_Bonapart>
<http://www.w3.org/2002/07/owl#sameAs>	<http://vec.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://vi.dbpedia.org/resource/Napoléon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://wa.dbpedia.org/resource/Napoleyon_Bonapåre>
<http://www.w3.org/2002/07/owl#sameAs>	<http://war.dbpedia.org/resource/Napoleon>
<http://www.w3.org/2002/07/owl#sameAs>	<http://yi.dbpedia.org/resource/נאפאלעאן_באנאפארטע>
<http://www.w3.org/2002/07/owl#sameAs>	<http://yo.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://zh.dbpedia.org/resource/拿破仑一世>
<http://xmlns.com/foaf/0.1/depiction>	<http://en.wikipedia.org/wiki/Special:FilePath/Jacques-Louis_David_-_The_Emperor_Napoleon_in_His_Study_at_the_Tuileries_-_Google_Art_Project.jpg>
